label,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
pause_40,4,1428552.1,89.5,120.0,0.0,0.0
pause_40,5,1438101.0,88.9,123.5,0.0,0.0
pause_40,6,1433420.4,89.2,122.5,0.0,0.0
pause_40,7,1450387.6,88.1,121.7,0.0,0.0
pause_40,8,1447809.2,88.3,123.7,0.0,0.0
pause_40,9,1449844.4,88.2,123.1,0.0,0.0
pause_40,10,1430548.9,89.4,120.8,0.0,0.0
pause_50,1,1473693.1,86.7,120.2,0.0,0.0
pause_50,2,1430340.2,89.4,122.1,0.0,0.0
pause_50,3,1458668.5,87.6,122.9,0.0,0.0
pause_50,4,1449121.4,88.2,122.2,0.0,0.0
pause_50,5,1427999.2,89.5,123.9,0.0,0.0
pause_50,6,1451190.9,88.1,125.3,0.0,0.0
pause_50,7,1438779.3,88.9,122.0,0.0,0.0
pause_50,8,1460548.7,87.5,124.6,0.0,0.0
pause_50,9,1454965.1,87.9,120.7,0.0,0.0
pause_50,10,1466021.7,87.2,123.3,0.0,0.0
pause_60,1,1454960.3,87.9,124.0,0.0,0.0
pause_60,2,1419175.9,90.1,115.5,0.0,0.0
pause_60,3,1466183.5,87.2,123.1,0.0,0.0
pause_60,4,1445026.7,88.5,115.3,0.0,0.0
pause_60,5,1445657.4,88.4,115.3,0.0,0.0
pause_60,6,1449228.0,88.2,120.6,0.0,0.0
pause_60,7,1414927.3,90.4,116.8,0.0,0.0
pause_60,8,1458404.4,87.7,123.9,0.0,0.0
pause_60,9,1437112.8,89.0,123.6,0.0,0.0
pause_60,10,1451598.2,88.1,122.7,0.0,0.0
pause_70,1,1451385.3,88.1,124.5,0.0,0.0
pause_70,2,1435386.4,89.1,122.6,0.0,0.0
pause_70,3,1425551.6,89.7,127.0,0.0,0.0
pause_70,4,1443036.9,88.6,125.7,0.0,0.0
pause_70,5,1416583.2,90.2,127.2,0.0,0.0
pause_70,6,1424943.4,89.7,125.7,0.0,0.0
pause_70,7,1426146.6,89.6,125.2,0.0,0.0
pause_70,8,1422228.7,89.9,125.2,0.0,0.0
pause_70,9,1404900.9,91.0,125.8,0.0,0.0
pause_70,10,1433795.2,89.2,125.1,0.0,0.0
pause_80,1,1427899.5,89.5,120.8,0.0,0.0
pause_80,2,1413125.7,90.5,124.1,0.0,0.0
pause_80,3,1388297.1,92.1,117.5,0.0,0.0
pause_80,4,1445280.3,88.5,123.0,0.0,0.0
pause_80,5,1419549.8,90.1,125.9,0.0,0.0
pause_80,6,1434227.8,89.1,123.8,0.0,0.0
pause_80,7,1431560.4,89.3,124.1,0.0,0.0
pause_80,8,1431654.2,89.3,124.6,0.0,0.0
pause_80,9,1425302.1,89.7,125.4,0.0,0.0
pause_80,10,1439795.3,88.8,124.7,0.0,0.0
pause_90,1,1404110.1,91.1,126.8,0.0,0.0
pause_90,2,1408154.2,90.8,123.5,0.0,0.0
pause_90,3,1430093.7,89.4,125.9,0.0,0.0
pause_90,4,1400504.8,91.3,122.4,0.0,0.0
pause_90,5,1413020.5,90.5,127.8,0.0,0.0
pause_90,6,1429317.0,89.4,125.2,0.0,0.0
pause_90,7,1405055.2,91.0,126.3,0.0,0.0
pause_90,8,1423288.2,89.8,125.4,0.0,0.0
pause_90,9,1430750.2,89.4,125.3,0.0,0.0
pause_90,10,1426846.0,89.6,123.9,0.0,0.0
pause_100,1,1446013.4,88.4,125.3,0.0,0.0
pause_100,2,1454619.3,87.9,122.4,0.0,0.0
pause_100,3,1444062.5,88.5,124.2,0.0,0.0
pause_100,4,1443847.8,88.5,122.9,0.0,0.0
pause_100,5,1427009.4,89.6,125.6,0.0,0.0
pause_100,6,1441652.4,88.7,124.2,0.0,0.0
pause_100,7,1418256.5,90.1,123.7,0.0,0.0
pause_100,8,1441084.9,88.7,122.3,0.0,0.0
pause_100,9,1443871.1,88.5,121.3,0.0,0.0
pause_100,10,1440390.3,88.8,123.4,0.0,0.0
pause_200,1,1424194.1,89.8,125.7,0.0,0.0
pause_200,2,1435486.0,89.1,126.0,0.0,0.0
pause_200,3,1435435.1,89.1,125.6,0.0,0.0
pause_200,4,1423478.0,89.8,125.4,0.0,0.0
pause_200,5,1419468.3,90.1,126.5,0.0,0.0
pause_200,6,1422865.2,89.9,122.4,0.0,0.0
pause_200,7,1439719.4,88.8,123.3,0.0,0.0
pause_200,8,1427485.3,89.6,123.0,0.0,0.0
pause_200,9,1400361.9,91.3,114.4,0.0,0.0
pause_200,10,1415625.9,90.3,126.3,0.0,0.0
pause_300,1,1429336.6,89.4,124.3,0.0,0.0
pause_300,2,1448589.1,88.3,123.9,0.0,0.0
pause_300,3,1426059.2,89.6,126.4,0.0,0.0
pause_300,4,1446318.7,88.4,125.0,0.0,0.0
pause_300,5,1431260.3,89.3,126.9,0.0,0.0
pause_300,6,1384666.4,92.3,114.8,0.0,0.0
pause_300,7,1422451.1,89.9,127.1,0.0,0.0
pause_300,8,1406878.6,90.9,127.5,0.0,0.0
pause_300,9,1395636.3,91.6,124.4,0.0,0.0
pause_300,10,1423948.5,89.8,125.7,0.0,0.0
