label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,futex_count,futex_per_req
N40,40,30,1200,5,1397674.1,115.8,177.1,248254,0.002960
N45,45,30,1350,1,1363527.5,116.8,158.0,242573,0.002965
N45,45,30,1350,2,1362569.4,116.9,158.6,247009,0.003021
N45,45,30,1350,3,1362211.8,116.8,156.1,242126,0.002962
N45,45,30,1350,4,1364038.4,116.9,161.4,245701,0.003002
N45,45,30,1350,5,1363879.4,116.8,155.5,239858,0.002931
N50,50,30,1500,1,1367288.2,116.5,157.9,255887,0.003119
N50,50,30,1500,2,1368884.9,116.7,158.4,251524,0.003062
N50,50,30,1500,3,1368819.9,116.6,155.1,251349,0.003060
N50,50,30,1500,4,1367654.5,116.7,159.2,247760,0.003019
N50,50,30,1500,5,1366256.4,116.7,160.0,248758,0.003035
N55,55,30,1650,1,1312907.0,121.9,166.8,186899,0.002373
N55,55,30,1650,2,1314144.8,121.8,169.3,187197,0.002374
N55,55,30,1650,3,1314182.1,121.8,166.7,188935,0.002396
N55,55,30,1650,4,1314089.6,121.7,166.6,186858,0.002370
N55,55,30,1650,5,1313356.6,121.7,168.0,189484,0.002405
N60,60,30,1800,1,1296076.5,126.0,174.2,182988,0.002353
N60,60,30,1800,2,1295248.8,126.1,211.0,181573,0.002336
N60,60,30,1800,3,1295707.0,126.0,173.3,182617,0.002349
N60,60,30,1800,4,1295218.7,125.9,171.0,179731,0.002313
N60,60,30,1800,5,1295673.7,125.9,171.9,180085,0.002316
N65,65,30,1950,1,1297856.1,125.4,166.9,166383,0.002137
N65,65,30,1950,2,1294147.5,127.0,170.5,169894,0.002188
N65,65,30,1950,3,1294714.9,126.9,170.4,169395,0.002181
N65,65,30,1950,4,1296949.1,126.4,171.8,172121,0.002212
N65,65,30,1950,5,1295290.3,126.9,175.2,171523,0.002207
N70,70,30,2100,1,1291289.5,127.5,172.7,176735,0.002281
N70,70,30,2100,2,1291817.6,127.6,171.6,177374,0.002288
N70,70,30,2100,3,1292366.6,127.6,174.2,178332,0.002300
N70,70,30,2100,4,1290617.6,127.7,172.2,178011,0.002299
N70,70,30,2100,5,1290995.5,127.7,171.5,176934,0.002284
N75,75,30,2250,1,1393999.2,116.6,159.1,148816,0.001779
N75,75,30,2250,2,1394382.6,116.8,160.3,151658,0.001813
N75,75,30,2250,3,1394387.7,116.8,161.1,150818,0.001803
N75,75,30,2250,4,1391827.0,116.8,156.4,150477,0.001802
N75,75,30,2250,5,1394538.1,116.8,162.1,150559,0.001799
N80,80,30,2400,1,1392469.5,116.8,164.0,190046,0.002275
N80,80,30,2400,2,1392716.0,116.9,163.4,192275,0.002301
N80,80,30,2400,3,1392501.9,116.9,164.6,188710,0.002259
N80,80,30,2400,4,1391438.3,117.0,167.4,190324,0.002280
N80,80,30,2400,5,1394550.3,116.8,163.9,185800,0.002221
N85,85,30,2550,1,1402866.2,116.1,160.6,164189,0.001951
N85,85,30,2550,2,1397407.6,115.6,157.3,162160,0.001934
N85,85,30,2550,3,1401160.6,116.2,159.7,161868,0.001925
N85,85,30,2550,4,1399960.7,116.2,161.9,166316,0.001980
N85,85,30,2550,5,1399965.0,116.2,159.6,165906,0.001975
N90,90,30,2700,1,1393348.0,116.3,162.6,152444,0.001823
N90,90,30,2700,2,1393007.2,116.3,164.2,153143,0.001832
N90,90,30,2700,3,1394532.9,116.3,163.1,153162,0.001831
N90,90,30,2700,4,1391762.0,116.4,164.3,150048,0.001797
N90,90,30,2700,5,1391211.1,116.3,160.4,148997,0.001785
N95,95,30,2850,1,1358997.8,117.2,167.4,142665,0.001750
N95,95,30,2850,2,1361799.2,117.1,166.6,143045,0.001751
N95,95,30,2850,3,1360612.3,117.2,167.1,144612,0.001771
N95,95,30,2850,4,1357950.9,117.2,166.8,144985,0.001779
N95,95,30,2850,5,1362218.6,117.2,166.3,149744,0.001832
N100,100,30,3000,1,1315833.6,124.1,174.8,147576,0.001869
N100,100,30,3000,2,1316388.2,124.2,177.7,147431,0.001867
N100,100,30,3000,3,1317020.6,123.9,175.5,147720,0.001869
N100,100,30,3000,4,1318929.1,123.7,172.5,145143,0.001834
N100,100,30,3000,5,1318181.3,123.8,178.2,146046,0.001847
N150,150,30,4500,1,1260033.7,130.4,190.4,154049,0.002038
N150,150,30,4500,2,1261477.0,130.7,189.8,147497,0.001949
N150,150,30,4500,3,1261396.4,131.9,192.5,152448,0.002014
N150,150,30,4500,4,1260866.5,131.9,194.8,152130,0.002011
N150,150,30,4500,5,1261564.3,131.7,193.8,151171,0.001997
N200,200,30,6000,1,1240501.7,137.9,214.4,180451,0.002424
N200,200,30,6000,2,1242837.5,137.7,207.3,178930,0.002399
N200,200,30,6000,3,1243251.3,137.2,206.1,174386,0.002338
N200,200,30,6000,4,1241349.7,137.9,204.9,188931,0.002537
N200,200,30,6000,5,1240085.7,137.7,206.7,180867,0.002431
