label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
N7,7,30,210,1,1385012.9,116.5,142.0,1169373,78469,1312683031,6990676834,0.0167
N7,7,30,210,2,1384883.2,116.2,140.9,1437839,104987,1298472847,6961357619,0.0207
N7,7,30,210,3,1390059.9,115.9,140.6,1373904,98709,1299895601,6931620848,0.0198
N7,7,30,210,4,1387080.0,116.3,141.5,1445171,103951,1296799173,6925685354,0.0209
N7,7,30,210,5,1387276.4,116.2,141.0,1590604,114090,1295553403,6932263512,0.0229
N7,7,30,210,6,1387015.0,116.4,141.9,1236744,84719,1302806853,6918684546,0.0179
N7,7,30,210,7,1390125.4,116.2,141.3,1578418,115539,1293394914,6910316094,0.0228
N7,7,30,210,8,1388741.3,116.3,141.3,1362000,93998,1300692551,6859024759,0.0199
N7,7,30,210,9,1389293.7,116.3,141.5,1276137,87600,1301673096,6810081478,0.0187
N7,7,30,210,10,1391708.6,116.1,141.0,1269657,86661,1300278221,6828514072,0.0186
N8,8,30,240,1,1414506.5,115.0,140.2,1334455,92018,1214836005,6818002800,0.0196
N8,8,30,240,2,1415737.4,114.8,139.8,1365462,95476,1219342534,6822867310,0.0200
N8,8,30,240,3,1414344.6,114.6,139.5,1360179,95550,1213139430,6830806455,0.0199
N8,8,30,240,4,1414194.9,114.7,139.8,1422493,101311,1214946896,6822837769,0.0208
N8,8,30,240,5,1415312.2,114.9,140.3,1324131,90093,1215058409,6841812259,0.0194
N8,8,30,240,6,1417589.2,114.3,138.9,1837279,138361,1202925994,6783652344,0.0271
N8,8,30,240,7,1416380.7,114.7,139.7,1464034,105364,1212131780,6788888067,0.0216
N8,8,30,240,8,1417659.4,114.5,139.4,1633469,118322,1206836129,6758980769,0.0242
N8,8,30,240,9,1431251.9,113.6,138.6,1836387,135705,1199096573,6773831871,0.0271
N8,8,30,240,10,1430169.8,113.7,138.9,1648023,118488,1213119243,6785041822,0.0243
N9,9,30,270,1,1420945.1,114.6,139.9,1637954,119106,1185816763,6861576791,0.0239
N9,9,30,270,2,1421371.2,113.5,137.2,1548997,116559,1184022451,6762916600,0.0229
N9,9,30,270,3,1420152.5,114.7,140.1,1483343,109076,1187457042,6818012453,0.0218
N9,9,30,270,4,1421432.8,114.4,139.9,1360333,96958,1191097186,6838429071,0.0199
N9,9,30,270,5,1420018.6,114.7,139.9,1484345,108196,1184470828,6815857112,0.0218
N9,9,30,270,6,1421154.8,114.3,139.4,1690763,125137,1180277115,6815776607,0.0248
N9,9,30,270,7,1421110.4,114.6,140.0,1441878,103190,1184910051,6800040477,0.0212
N9,9,30,270,8,1421840.4,114.4,139.8,1618576,122845,1184414827,6786273214,0.0239
N9,9,30,270,9,1422924.6,114.4,139.5,1467171,106623,1187976918,6772729248,0.0217
N9,9,30,270,10,1424615.5,114.1,139.1,1435257,102858,1188589362,6709438698,0.0214
N10,10,30,300,1,1431420.7,113.9,139.6,1569470,113955,1156768837,6799781648,0.0231
N10,10,30,300,2,1431112.8,114.0,139.6,1487595,106314,1161413176,6814610009,0.0218
N10,10,30,300,3,1431768.9,113.8,139.7,1490119,105472,1162382548,6774615360,0.0220
